product_id,type,region,air_temp_c,process_temp_c,torque,tool_wear,tool_wear_ratio,power_watts,target,failure_type,risk_flag
M22885,M,Europe,27.65,38.85,50.7,219,0.8656,7549.81,0,"No Failure",Critical
L50205,L,Asia-Pacific,27.35,36.45,50.2,219,0.8656,7180.97,0,"No Failure",Critical
M22542,M,Europe,27.55,38.55,49.1,219,0.8656,7260.14,0,"No Failure",Critical
L49850,L,Asia-Pacific,26.65,36.25,46.2,219,0.8656,7097.42,0,"No Failure",Critical
M23057,M,Europe,26.25,37.55,45.7,219,0.8656,7140.25,0,"No Failure",Critical
M15614,M,Europe,23.75,34.95,44.3,219,0.8656,6879.76,0,"No Failure",Critical
L56674,L,Asia-Pacific,26.05,36.75,41.4,219,0.8656,6572.46,0,"No Failure",Critical
L50034,L,Asia-Pacific,27.35,36.15,40.8,219,0.8656,6280.67,0,"No Failure",Critical
L51820,L,Asia-Pacific,29.95,38.05,40.1,219,0.8656,6025.94,0,"No Failure",Critical
L49343,L,Asia-Pacific,26.45,36.05,39.8,219,0.8656,5926.68,0,"No Failure",Critical
L54434,L,Asia-Pacific,27.15,37.25,37.5,219,0.8656,5863,0,"No Failure",Critical
L53004,L,Asia-Pacific,28.05,37.85,37.2,219,0.8656,6217.34,0,"No Failure",Critical
M16540,M,Europe,24.75,34.25,34.6,219,0.8656,5833.52,0,"No Failure",Critical
L55117,L,Asia-Pacific,27.65,38.55,31.4,219,0.8656,5188.78,0,"No Failure",Critical
M16030,M,Europe,23.95,34.95,24.3,219,0.8656,4638.97,0,"No Failure",Critical
L52079,L,Asia-Pacific,30.45,39.15,17.7,219,0.8656,3513.38,0,"No Failure",Critical
M15191,M,Europe,24.45,35.25,51.9,218,0.8617,7560.02,0,"No Failure",Critical
L55787,L,Asia-Pacific,24.35,35.25,50,218,0.8617,7503.17,0,"No Failure",Critical
M20248,M,Europe,29.65,39.15,49,218,0.8617,7347.98,0,"No Failure",Critical
L49678,L,Asia-Pacific,25.95,35.75,47.2,218,0.8617,7251.05,0,"No Failure",Critical
M15361,M,Europe,24.45,36.15,46.2,218,0.8617,7082.91,0,"No Failure",Critical
H33276,H,"North americ",29.35,38.35,43.8,218,0.8617,6861.74,0,"No Failure",Critical
M24520,M,Europe,25.75,36.65,43.1,218,0.8617,6282.68,0,"No Failure",Critical
M20853,M,Europe,27.55,37.45,42.4,218,0.8617,6247.25,0,"No Failure",Critical
L53349,L,Asia-Pacific,27.55,37.35,38.2,218,0.8617,5792.43,0,"No Failure",Critical
L51207,L,Asia-Pacific,28.85,37.85,37.8,218,0.8617,6198.86,0,"No Failure",Critical
L50628,L,Asia-Pacific,28.45,37.45,36.6,218,0.8617,5664.79,0,"No Failure",Critical
L48430,L,Asia-Pacific,24.15,35.55,36.1,218,0.8617,5855.81,0,"No Failure",Critical
L53854,L,Asia-Pacific,28.35,37.55,35.5,218,0.8617,6015,0,"No Failure",Critical
M18051,M,Europe,26.95,36.05,33.7,218,0.8617,6112.32,0,"No Failure",Critical
M23142,M,Europe,25.75,37.55,33.6,218,0.8617,5763.44,0,"No Failure",Critical
L55116,L,Asia-Pacific,27.65,38.55,46.4,217,0.8577,7239.9,0,"No Failure",Critical
M19238,M,Europe,28.75,36.45,45.8,217,0.8577,6642.69,0,"No Failure",Critical
L56519,L,Asia-Pacific,25.35,35.85,44.8,217,0.8577,6840.13,0,"No Failure",Critical
H35920,H,"North americ",27.85,36.95,44.1,217,0.8577,6714.78,0,"No Failure",Critical
L48349,L,Asia-Pacific,23.85,34.95,43.7,217,0.8577,6200.82,0,"No Failure",Critical
L54861,L,Asia-Pacific,27.55,38.65,43.7,217,0.8577,6603.53,0,"No Failure",Critical
L49342,L,Asia-Pacific,26.35,35.95,42.1,217,0.8577,5890.03,0,"No Failure",Critical
L50204,L,Asia-Pacific,27.35,36.45,41.6,217,0.8577,6382.04,0,"No Failure",Critical
L47933,L,Asia-Pacific,23.65,34.85,40.4,217,0.8577,6498.32,0,"No Failure",Critical
L53003,L,Asia-Pacific,28.05,37.85,39.3,217,0.8577,6354.31,0,"No Failure",Critical
L54433,L,Asia-Pacific,27.15,37.35,39.1,217,0.8577,6231.89,0,"No Failure",Critical
L55204,L,Asia-Pacific,27.75,38.85,38.7,217,0.8577,6050.61,0,"No Failure",Critical
H37262,H,"North americ",27.05,38.45,37.7,217,0.8577,6107.46,0,"No Failure",Critical
M16368,M,Europe,24.85,35.45,37.3,217,0.8577,5886.41,0,"No Failure",Critical
L51910,L,Asia-Pacific,30.15,38.55,35.5,217,0.8577,5606.07,0,"No Failure",Critical
M19157,M,Europe,28.65,37.05,34.2,217,0.8577,5762.5,0,"No Failure",Critical
L55376,L,Asia-Pacific,26.25,37.65,33.6,217,0.8577,5707.14,0,"No Failure",Critical
L51819,L,Asia-Pacific,29.95,38.15,31.8,217,0.8577,5517.96,0,"No Failure",Critical
L48601,L,Asia-Pacific,25.55,36.65,31.8,217,0.8577,5291.51,0,"No Failure",Critical
L48859,L,Asia-Pacific,24.85,34.35,27.9,217,0.8577,5235.65,0,"No Failure",Critical
L52567,L,Asia-Pacific,29.65,39.05,50,216,0.8538,7503.17,0,"No Failure",Critical
L49943,L,Asia-Pacific,26.65,36.05,47.5,216,0.8538,7416.51,0,"No Failure",Critical
L53172,L,Asia-Pacific,27.55,37.45,47.2,216,0.8538,6366.29,0,"No Failure",Critical
M17713,M,Europe,27.35,36.15,39.1,216,0.8538,6301.5,0,"No Failure",Critical
L48429,L,Asia-Pacific,24.15,35.55,36.8,216,0.8538,5653.36,0,"No Failure",Critical
L50627,L,Asia-Pacific,28.55,37.45,34.5,216,0.8538,5867.24,0,"No Failure",Critical
L50370,L,Asia-Pacific,26.95,36.05,30.1,216,0.8538,5040.15,0,"No Failure",Critical
H30745,H,"North americ",25.75,37.05,26.8,216,0.8538,4970.29,0,"No Failure",Critical
M16454,M,Europe,24.85,35.05,51.2,215,0.8498,7361.55,0,"No Failure",High
L55027,L,Asia-Pacific,27.05,38.45,50.9,215,0.8498,7046.57,0,"No Failure",High
M17190,M,Europe,26.15,35.55,49.3,215,0.8498,7176.13,0,"No Failure",High
L47932,L,Asia-Pacific,23.75,34.95,48.7,215,0.8498,7251.99,0,"No Failure",High
H29998,H,"North americ",24.45,36.45,48.2,215,0.8498,7162.39,0,"No Failure",High
L48028,L,Asia-Pacific,23.15,34.25,47.1,215,0.8498,7225.82,0,"No Failure",High
L54860,L,Asia-Pacific,27.55,38.55,43.7,215,0.8498,6383.87,0,"No Failure",Medium
L52917,L,Asia-Pacific,29.15,38.65,42.8,215,0.8498,7054.68,0,"No Failure",Medium
M17357,M,Europe,26.05,35.75,42.3,215,0.8498,6737.49,0,"No Failure",Medium
M15190,M,Europe,24.45,35.25,41.9,215,0.8498,6134.09,0,"No Failure",Medium
M18721,M,Europe,29.35,38.35,41.1,215,0.8498,6374.2,0,"No Failure",Medium
L49341,L,Asia-Pacific,26.25,35.95,40.5,215,0.8498,6209.04,0,"No Failure",Medium
L53685,L,Asia-Pacific,27.95,36.95,39.6,215,0.8498,6042.04,0,"No Failure",Medium
L54518,L,Asia-Pacific,26.65,37.35,38.8,215,0.8498,6078.44,0,"No Failure",Medium
M23466,M,Europe,24.35,35.25,37.2,215,0.8498,5862.84,0,"No Failure",Medium
L48348,L,Asia-Pacific,23.95,34.95,36.8,215,0.8498,6104.24,0,"No Failure",Medium
L52833,L,Asia-Pacific,29.25,38.55,36.8,215,0.8498,5761.26,0,"No Failure",Medium
L56672,L,Asia-Pacific,25.95,36.75,36.6,215,0.8498,6078.73,0,"No Failure",Medium
M23789,M,Europe,24.25,35.25,35.8,215,0.8498,6073.33,0,"No Failure",Medium
L52669,L,Asia-Pacific,29.45,38.95,35,215,0.8498,5494.12,0,"Random Failures",Medium
L51818,L,Asia-Pacific,29.95,38.15,34.8,215,0.8498,5371.62,0,"No Failure",Medium
M18886,M,Europe,28.95,37.85,34.1,215,0.8498,5620.67,0,"No Failure",Medium
M24617,M,Europe,25.45,36.75,34,215,0.8498,5401.24,0,"No Failure",Medium
L48858,L,Asia-Pacific,24.85,34.35,32.8,215,0.8498,5646.82,0,"No Failure",Medium
L50203,L,Asia-Pacific,27.25,36.35,29.2,215,0.8498,5231.92,0,"No Failure",Medium
M19066,M,Europe,29.15,37.65,28.4,215,0.8498,5118.32,0,"No Failure",Medium
M15360,M,Europe,24.35,36.05,27.4,215,0.8498,5176.26,0,"No Failure",Medium
M21028,M,Europe,27.55,37.45,27.1,215,0.8498,5045.8,0,"No Failure",Medium
M19845,M,Europe,30.65,39.85,23.5,215,0.8498,4402.58,0,"No Failure",Medium
M21704,M,Europe,28.15,38.25,23.2,215,0.8498,4465.42,0,"No Failure",Medium
L54266,L,Asia-Pacific,27.45,37.25,13.4,215,0.8498,2659.85,0,"No Failure",Medium
M16367,M,Europe,24.85,35.45,55.7,214,0.8458,8026.06,0,"No Failure",High
H34312,H,"North americ",30.45,39.25,53.7,214,0.8458,8210.24,0,"No Failure",High
M23877,M,Europe,24.15,34.95,52,214,0.8458,7454.79,0,"No Failure",High
L53852,L,Asia-Pacific,28.45,37.55,50.5,214,0.8458,7530.61,0,"No Failure",High
M20682,M,Europe,28.15,37.85,50.2,214,0.8458,7690.89,0,"No Failure",High
L53263,L,Asia-Pacific,27.75,37.55,50,214,0.8458,7272.79,0,"No Failure",High
M19237,M,Europe,28.65,36.45,49,214,0.8458,7368.5,0,"No Failure",High
L47339,L,Asia-Pacific,25.25,35.05,47,214,0.8458,7240.01,0,"No Failure",High
L47427,L,Asia-Pacific,24.85,35.05,45.5,214,0.8458,6999.42,0,"No Failure",High
L49942,L,Asia-Pacific,26.65,36.05,44.4,214,0.8458,6876.69,0,"No Failure",Medium
L50289,L,Asia-Pacific,26.75,36.05,44.3,214,0.8458,6916.88,0,"No Failure",Medium
M22795,M,Europe,27.65,38.75,44.3,214,0.8458,6290.6,0,"No Failure",Medium
L52566,L,Asia-Pacific,29.75,39.05,42,214,0.8458,6461,0,"No Failure",Medium
L53171,L,Asia-Pacific,27.55,37.55,40.4,214,0.8458,5990.64,0,"No Failure",Medium
L48428,L,Asia-Pacific,24.05,35.45,40.2,214,0.8458,6268.29,0,"No Failure",Medium
H32083,H,"North americ",26.55,36.15,37.8,214,0.8458,5913.86,0,"No Failure",Medium
M16280,M,Europe,25.65,36.75,35.2,214,0.8458,5510.77,0,"No Failure",Medium
L56838,L,Asia-Pacific,25.85,36.75,34.5,214,0.8458,5592.66,0,"No Failure",Medium
L50369,L,Asia-Pacific,26.95,35.95,33.7,214,0.8458,5473.57,0,"No Failure",Medium
L48510,L,Asia-Pacific,25.75,37.05,30.2,214,0.8458,5363.66,0,"No Failure",Medium
M17712,M,Europe,27.35,36.25,50.1,213,0.8419,7066.98,0,"No Failure",High
L47597,L,Asia-Pacific,24.25,35.25,50.1,213,0.8419,7313.56,0,"No Failure",High
L51908,L,Asia-Pacific,30.25,38.55,47.1,213,0.8419,6934.81,0,"No Failure",High
L55374,L,Asia-Pacific,26.25,37.55,45.7,213,0.8419,6824.4,0,"No Failure",High
L52488,L,Asia-Pacific,30.85,40.05,42.6,213,0.8419,6606.83,0,"No Failure",Medium
L54023,L,Asia-Pacific,28.15,38.15,42.5,213,0.8419,6715.94,0,"No Failure",Medium
L56108,L,Asia-Pacific,24.25,35.25,41.5,213,0.8419,6653.53,0,"No Failure",Medium
L54265,L,Asia-Pacific,27.45,37.15,41,213,0.8419,6371.57,0,"No Failure",Medium
L49340,L,Asia-Pacific,26.25,35.85,41,213,0.8419,6470.32,0,"No Failure",Medium
L49509,L,Asia-Pacific,26.15,35.55,40.5,213,0.8419,6293.87,0,"No Failure",Medium
L51475,L,Asia-Pacific,28.65,37.05,40.4,213,0.8419,6164.1,0,"No Failure",Medium
L53768,L,Asia-Pacific,28.45,37.55,40.4,213,0.8419,6164.1,0,"No Failure",Medium
L51040,L,Asia-Pacific,29.45,38.35,38.9,213,0.8419,5813.03,0,"No Failure",Medium
H37695,H,"North americ",25.75,37.45,38.8,213,0.8419,6171.89,0,"No Failure",Medium
M18133,M,Europe,28.15,36.75,36,213,0.8419,5899.91,0,"No Failure",Medium
L56936,L,Asia-Pacific,25.45,36.65,35.9,213,0.8419,6003.82,0,"No Failure",Medium
L47679,L,Asia-Pacific,24.35,35.95,35.1,213,0.8419,5568.63,0,"No Failure",Medium
L48773,L,Asia-Pacific,24.85,35.15,34.7,213,0.8419,5610.55,0,"No Failure",Medium
L55785,L,Asia-Pacific,24.35,35.25,33.3,213,0.8419,5694.55,0,"No Failure",Medium
L54517,L,Asia-Pacific,26.75,37.35,32.8,213,0.8419,5286.17,0,"No Failure",Medium
L54859,L,Asia-Pacific,27.55,38.55,32.4,213,0.8419,5547.42,0,"No Failure",Medium
L50202,L,Asia-Pacific,27.35,36.45,30.6,213,0.8419,5639.79,0,"No Failure",Medium
L52832,L,Asia-Pacific,29.25,38.65,26.5,213,0.8419,4792.55,0,"No Failure",Medium
L51385,L,Asia-Pacific,29.15,37.65,26.3,213,0.8419,4745.37,0,"No Failure",Medium
L57168,L,Asia-Pacific,25.75,35.45,24.1,213,0.8419,4469.55,0,"No Failure",Medium
M22285,M,Europe,26.85,38.25,24.1,213,0.8419,4520.03,0,"No Failure",Medium
M21027,M,Europe,27.75,37.55,51.6,212,0.8379,7359.62,0,"No Failure",High
L53001,L,Asia-Pacific,28.15,37.95,49.2,212,0.8379,6713.33,0,"No Failure",High
L53262,L,Asia-Pacific,27.75,37.55,46.4,212,0.8379,6569.36,0,"No Failure",High
L57013,L,Asia-Pacific,25.15,35.95,45.3,212,0.8379,6574.91,0,"No Failure",High
L50543,L,Asia-Pacific,28.25,37.45,43.3,212,0.8379,7050.94,0,"No Failure",Medium
H36666,H,"North americ",27.05,37.25,42.9,212,0.8379,6743.21,0,"No Failure",Medium
L48427,L,Asia-Pacific,24.05,35.35,42.9,212,0.8379,6797.12,0,"No Failure",Medium
H37437,H,"North americ",27.75,38.85,42.7,212,0.8379,6246.73,0,"No Failure",Medium
L53851,L,Asia-Pacific,28.35,37.45,42.1,212,0.8379,5982.61,0,"No Failure",Medium
M24351,M,Europe,25.85,36.55,40.7,212,0.8379,6346.26,0,"No Failure",Medium
L56837,L,Asia-Pacific,25.85,36.85,39.6,212,0.8379,6154,0,"No Failure",Medium
L50288,L,Asia-Pacific,26.65,36.05,38.7,212,0.8379,6095.19,0,"No Failure",Medium
M17356,M,Europe,26.05,35.75,37.4,212,0.8379,6160.68,0,"No Failure",Medium
M20596,M,Europe,29.25,38.75,36.6,212,0.8379,5515.32,0,"No Failure",Medium
H31496,H,"North americ",26.25,36.05,36.1,212,0.8379,5719.72,0,"No Failure",Medium
M22706,M,Europe,27.05,38.45,35,212,0.8379,5893.63,0,"No Failure",Medium
L48686,L,Asia-Pacific,24.85,35.65,33.7,212,0.8379,5681.78,0,"No Failure",Medium
L47426,L,Asia-Pacific,24.75,34.95,33.5,212,0.8379,5560.36,0,"No Failure",Medium
M16537,M,Europe,24.75,34.35,30.8,212,0.8379,5312.18,0,"No Failure",Medium
H38752,H,"North americ",25.35,35.85,30.8,212,0.8379,4938.04,0,"No Failure",Medium
M21364,M,Europe,27.85,36.95,27.4,212,0.8379,4823.33,0,"No Failure",Medium
M19497,M,Europe,29.95,38.15,24.7,212,0.8379,4777.41,0,"No Failure",Medium
M15611,M,Europe,23.65,34.95,24.2,212,0.8379,4670.56,0,"No Failure",Medium
L55784,L,Asia-Pacific,24.25,35.05,52.1,211,0.834,7076.3,0,"No Failure",High
M20850,M,Europe,27.55,37.55,51.6,211,0.834,7256.95,0,"No Failure",High
M18048,M,Europe,26.95,36.05,51,211,0.834,7679.94,0,"No Failure",High
L50201,L,Asia-Pacific,27.35,36.65,49.6,211,0.834,7380.82,0,"No Failure",High
H32860,H,"North americ",28.45,37.45,49.5,211,0.834,7257.08,0,"No Failure",High
L50031,L,Asia-Pacific,27.35,36.15,48.8,211,0.834,7016.47,0,"No Failure",High
M15018,M,Europe,25.25,35.05,40,211,0.834,6279,0,"No Failure",Medium
L55460,L,Asia-Pacific,25.65,37.45,39.1,211,0.834,6559.46,0,"No Failure",Medium
L48772,L,Asia-Pacific,24.95,35.25,38.2,211,0.834,6368.47,0,"No Failure",Medium
L47596,L,Asia-Pacific,24.25,35.35,37.8,211,0.834,5917.82,0,"No Failure",Medium
L51039,L,Asia-Pacific,29.45,38.35,37,211,0.834,6195.53,0,"No Failure",Medium
L49508,L,Asia-Pacific,26.15,35.55,36.3,211,0.834,6002.3,0,"No Failure",Medium
L52487,L,Asia-Pacific,30.85,40.15,34.8,211,0.834,5575.7,0,"No Failure",Medium
M19236,M,Europe,28.75,36.45,34.6,211,0.834,5619.74,0,"No Failure",Medium
M17528,M,Europe,26.65,36.15,31.1,211,0.834,5341.13,0,"No Failure",Medium
L47678,L,Asia-Pacific,24.35,35.95,30.2,211,0.834,5094.85,0,"No Failure",Medium
L54022,L,Asia-Pacific,28.05,38.05,29.6,211,0.834,5068.02,0,"No Failure",Medium
M22794,M,Europe,27.65,38.75,28.3,211,0.834,4803.95,0,"No Failure",Medium
L52163,L,Asia-Pacific,30.65,39.95,25.8,211,0.834,5049.61,0,"No Failure",Medium
